product,qtyordered,qtycompleted,datecompleted,ross_product_code
IMG5H-44-5024,400.0,400,2025-08-07,CCP50241010056G
IMG5H-44-4524,1650.0,1650,2025-08-11,CCP45241010056G
IMG5H-44-4524,550.0,550,2025-08-11,CCP45241010056G
IMG5H-44-4518,1800.0,1800,2025-08-13,SMF45181010056G
IMG5H-44-4524,1100.0,1100,2025-08-14,CCP45241010056G
IMG5H-44-5024,1000.0,1000,2025-08-15,CCP50241010056G
IMG5H-44-4524,1100.0,1100,2025-08-18,CCP45241010056G
IMG5H-44-4024,1800.0,1800,2025-08-20,CCP40241010056G
IMG5H-44-4024,200.0,200,2025-08-20,CCP45241010056G
IMG5H-44-3024,100.0,100,2025-08-20,
IMG5H-44-4224,1650.0,1650,2025-08-21,CCP42241010056G
IMG5H-44-4224,1650.0,991,,CCP42241010056G
IMG5H-44-4524,1100.0,0,,CCP45241010056G
IMG5H-44-4524,1100.0,0,,
IMG5H-44-4524,1100.0,0,,
IMG5H-44-4524,1100.0,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
,,0,,
